annotation_id,gene,confidence
ANN:00001,GENE001,90
ANN:00002,GENE002,74
ANN:00003,GENE003,46
ANN:00004,GENE004,73
ANN:00005,GENE005,61
ANN:00006,GENE006,36
ANN:00007,GENE007,71
ANN:00008,GENE008,69
ANN:00009,GENE009,47
ANN:00010,GENE010,83
ANN:00011,GENE011,95
ANN:00012,GENE012,82
ANN:00013,GENE013,5
ANN:00014,GENE014,96
ANN:00015,GENE015,70
ANN:00016,GENE016,97
ANN:00017,GENE017,88
ANN:00018,GENE018,43
ANN:00019,GENE019,85
ANN:00020,GENE020,5
ANN:00021,GENE021,21
ANN:00022,GENE022,58
ANN:00023,GENE023,95
ANN:00024,GENE024,57
ANN:00025,GENE025,88
ANN:00026,GENE026,27
ANN:00027,GENE027,23
ANN:00028,GENE028,35
ANN:00029,GENE029,95
ANN:00030,GENE030,72
ANN:00031,GENE031,55
ANN:00032,GENE032,17
ANN:00033,GENE033,79
ANN:00034,GENE034,58
ANN:00035,GENE035,63
ANN:00036,GENE036,13
ANN:00037,GENE037,41
ANN:00038,GENE038,51
ANN:00039,GENE039,65
ANN:00040,GENE040,90
ANN:00041,GENE041,81
ANN:00042,GENE042,88
ANN:00043,GENE043,96
ANN:00044,GENE044,98
ANN:00045,GENE045,87
ANN:00046,GENE046,78
ANN:00047,GENE047,71
ANN:00048,GENE048,47
ANN:00049,GENE049,13
ANN:00050,GENE050,95
ANN:00051,GENE051,84
ANN:00052,GENE052,99
ANN:00053,GENE053,36
ANN:00054,GENE054,65
ANN:00055,GENE055,20
ANN:00056,GENE056,89
ANN:00057,GENE057,98
ANN:00058,GENE058,80
ANN:00059,GENE059,30
ANN:00060,GENE060,58
ANN:00061,GENE061,89
ANN:00062,GENE062,46
ANN:00063,GENE063,76
ANN:00064,GENE064,84
ANN:00065,GENE065,1
ANN:00066,GENE066,23
ANN:00067,GENE067,79
ANN:00068,GENE068,78
ANN:00069,GENE069,67
ANN:00070,GENE070,57
ANN:00071,GENE071,84
ANN:00072,GENE072,82
ANN:00073,GENE073,15
ANN:00074,GENE074,20
ANN:00075,GENE075,11
ANN:00076,GENE076,22
ANN:00077,GENE077,12
ANN:00078,GENE078,81
ANN:00079,GENE079,64
ANN:00080,GENE080,17
ANN:00081,GENE081,25
ANN:00082,GENE082,9
ANN:00083,GENE083,84
ANN:00084,GENE084,82
ANN:00085,GENE085,22
ANN:00086,GENE086,35
ANN:00087,GENE087,86
ANN:00088,GENE088,29
ANN:00089,GENE089,47
ANN:00090,GENE090,15
ANN:00091,GENE091,55
ANN:00092,GENE092,79
ANN:00093,GENE093,77
ANN:00094,GENE094,98
ANN:00095,GENE095,98
ANN:00096,GENE096,16
ANN:00097,GENE000,79
ANN:00098,GENE001,19
ANN:00099,GENE002,93
ANN:00100,GENE003,63
ANN:00101,GENE004,92
ANN:00102,GENE005,84
ANN:00103,GENE006,76
ANN:00104,GENE007,26
ANN:00105,GENE008,97
ANN:00106,GENE009,99
ANN:00107,GENE010,53
ANN:00108,GENE011,18
ANN:00109,GENE012,20
ANN:00110,GENE013,36
ANN:00111,GENE014,3
ANN:00112,GENE015,77
ANN:00113,GENE016,72
ANN:00114,GENE017,59
ANN:00115,GENE018,8
ANN:00116,GENE019,13
ANN:00117,GENE020,85
ANN:00118,GENE021,62
ANN:00119,GENE022,44
ANN:00120,GENE023,64
ANN:00121,GENE024,22
ANN:00122,GENE025,94
ANN:00123,GENE026,73
ANN:00124,GENE027,77
ANN:00125,GENE028,50
ANN:00126,GENE029,81
ANN:00127,GENE030,20
ANN:00128,GENE031,84
ANN:00129,GENE032,88
ANN:00130,GENE033,3
ANN:00131,GENE034,68
ANN:00132,GENE035,99
ANN:00133,GENE036,99
ANN:00134,GENE037,52
ANN:00135,GENE038,32
ANN:00136,GENE039,66
ANN:00137,GENE040,97
ANN:00138,GENE041,58
ANN:00139,GENE042,17
ANN:00140,GENE043,86
ANN:00141,GENE044,78
ANN:00142,GENE045,93
ANN:00143,GENE046,93
ANN:00144,GENE047,29
ANN:00145,GENE048,83
ANN:00146,GENE049,5
ANN:00147,GENE050,16
ANN:00148,GENE051,59
ANN:00149,GENE052,91
ANN:00150,GENE053,40
ANN:00151,GENE054,14
ANN:00152,GENE055,39
ANN:00153,GENE056,70
ANN:00154,GENE057,87
ANN:00155,GENE058,19
ANN:00156,GENE059,72
ANN:00157,GENE060,37
ANN:00158,GENE061,37
ANN:00159,GENE062,75
ANN:00160,GENE063,95
ANN:00161,GENE064,48
ANN:00162,GENE065,1
ANN:00163,GENE066,88
ANN:00164,GENE067,44
ANN:00165,GENE068,4
ANN:00166,GENE069,12
ANN:00167,GENE070,95
ANN:00168,GENE071,27
ANN:00169,GENE072,92
ANN:00170,GENE073,26
ANN:00171,GENE074,50
ANN:00172,GENE075,73
ANN:00173,GENE076,95
ANN:00174,GENE077,93
ANN:00175,GENE078,65
ANN:00176,GENE079,38
ANN:00177,GENE080,53
ANN:00178,GENE081,14
ANN:00179,GENE082,65
ANN:00180,GENE083,91
ANN:00181,GENE084,63
ANN:00182,GENE085,86
ANN:00183,GENE086,86
ANN:00184,GENE087,4
ANN:00185,GENE088,76
ANN:00186,GENE089,86
ANN:00187,GENE090,68
ANN:00188,GENE091,89
ANN:00189,GENE092,47
ANN:00190,GENE093,86
ANN:00191,GENE094,93
ANN:00192,GENE095,86
ANN:00193,GENE096,35
ANN:00194,GENE000,69
ANN:00195,GENE001,92
ANN:00196,GENE002,47
ANN:00197,GENE003,12
ANN:00198,GENE004,41
ANN:00199,GENE005,70
ANN:00200,GENE006,94
ANN:00201,GENE007,55
ANN:00202,GENE008,71
ANN:00203,GENE009,98
ANN:00204,GENE010,75
ANN:00205,GENE011,17
ANN:00206,GENE012,69
ANN:00207,GENE013,32
ANN:00208,GENE014,79
ANN:00209,GENE015,71
ANN:00210,GENE016,44
ANN:00211,GENE017,80
ANN:00212,GENE018,82
ANN:00213,GENE019,94
ANN:00214,GENE020,91
ANN:00215,GENE021,89
ANN:00216,GENE022,35
ANN:00217,GENE023,28
ANN:00218,GENE024,3
ANN:00219,GENE025,34
ANN:00220,GENE026,29
ANN:00221,GENE027,11
ANN:00222,GENE028,73
ANN:00223,GENE029,63
ANN:00224,GENE030,2
ANN:00225,GENE031,59
ANN:00226,GENE032,88
