order_id,customer_id,order_ts,order_status,gross_amount,discount_amount,net_amount,currency,channel
1001,C-8801,2025-02-11,delivered,130.00,10.00,120.00,USD,web
1002,C-8802,2025-06-03,returned,45.00,0.00,45.00,USD,web
1003,C-8803,2025-09-19,delivered,80.50,5.00,75.50,USD,mobile
1004,C-8804,2025-11-27,delivered,30.00,0.00,30.00,USD,marketplace
1005,C-8801,2026-01-08,delivered,225.25,15.00,210.25,USD,web
1006,C-8805,2026-03-14,returned,60.00,0.00,60.00,USD,mobile
1007,C-8806,2026-05-02,delivered,64.75,0.00,64.75,USD,mobile
1008,C-8807,2026-06-21,delivered,95.40,7.00,88.40,USD,marketplace
1009,C-8802,2026-08-09,delivered,160.00,10.00,150.00,USD,web
1010,C-8808,2026-09-30,pending,42.00,0.00,42.00,USD,web
